iter	Passed	Remaining
402	11770	46645
403	11789	46575
404	11814	46529
405	11853	46539
406	11883	46510
407	11905	46454
408	11936	46432
409	11957	46369
410	11977	46306
411	12005	46273
412	12033	46238
413	12059	46200
414	12090	46178
415	12113	46123
416	12134	46064
417	12163	46033
418	12186	45984
419	12213	45944
420	12248	45940
421	12279	45918
422	12303	45869
423	12325	45812
424	12352	45777
425	12376	45729
426	12406	45703
427	12429	45652
428	12451	45595
429	12486	45588
430	12512	45550
431	12536	45504
432	12569	45488
433	12613	45514
434	12638	45469
435	12687	45513
436	12711	45466
437	12728	45392
438	12747	45327
439	12773	45288
440	12791	45220
441	12815	45173
442	12854	45178
443	12877	45128
444	12895	45063
445	12920	45019
446	12952	44999
447	12985	44984
448	13008	44935
449	13041	44920
450	13068	44883
451	13095	44849
452	13122	44814
453	13156	44802
454	13180	44756
455	13207	44720
456	13225	44654
457	13245	44593
458	13283	44597
459	13322	44602
460	13350	44570
461	13369	44507
462	13397	44474
463	13423	44437
464	13455	44418
465	13480	44375
466	13511	44353
467	13538	44318
468	13566	44284
469	13603	44282
470	13621	44218
471	13653	44198
472	13680	44164
473	13709	44135
474	13732	44088
475	13760	44057
476	13784	44012
477	13804	43954
478	13833	43926
479	13885	43971
480	13907	43919
481	13934	43885
482	13958	43842
483	14001	43854
484	14044	43869
485	14076	43852
486	14117	43859
487	14163	43884
488	14201	43881
489	14256	43932
490	14284	43900
491	14310	43861
492	14342	43842
493	14364	43792
494	14386	43741
495	14427	43748
496	14463	43738
497	14480	43674
498	14519	43673
499	14536	43609
500	14561	43567
501	14589	43536
502	14622	43519
503	14641	43460
504	14664	43412
505	14691	43379
506	14715	43333
507	14756	43339
508	14781	43297
509	14805	43256
510	14831	43217
511	14864	43201
512	14896	43178
513	14936	43181
514	14958	43132
515	14993	43120
516	15018	43080
517	15043	43040
518	15067	42996
519	15115	43022
520	15144	42991
521	15177	42972
522	15202	42931
523	15227	42891
524	15257	42865
525	15302	42880
526	15330	42850
527	15366	42839
528	15400	42825
529	15435	42810
530	15455	42756
531	15473	42696
532	15498	42656
533	15530	42636
534	15557	42601
535	15589	42579
536	15623	42565
537	15653	42538
538	15690	42529
539	15718	42499
540	15736	42440
541	15766	42412
542	15808	42417
543	15854	42435
544	15892	42429
545	15969	42527
546	16014	42539
547	16064	42565
548	16092	42531
549	16189	42680
550	16238	42703
551	16268	42674
552	16309	42675
553	16365	42715
554	16428	42772
555	16462	42755
556	16503	42756
557	16541	42747
558	16572	42719
559	16603	42695
560	16629	42656
561	16652	42609
562	16696	42616
563	16727	42590
564	16777	42612
565	16809	42587
566	16846	42577
567	16875	42546
568	16915	42542
569	16944	42509
570	16981	42498
571	17007	42459
572	17035	42425
573	17060	42384
574	17106	42394
575	17136	42365
576	17162	42326
577	17200	42315
578	17232	42292
579	17268	42277
580	17300	42252
581	17338	42242
582	17373	42226
583	17397	42183
584	17421	42138
585	17442	42089
586	17476	42067
587	17513	42057
588	17538	42015
589	17568	41985
590	17599	41958
591	17628	41927
592	17653	41885
593	17676	41839
594	17709	41818
595	17746	41805
596	17780	41784
597	17808	41751
598	17842	41731
599	17871	41699
600	17905	41679
601	17930	41638
602	17962	41615
603	17989	41579
604	18018	41546
605	18054	41530
606	18092	41519
607	18119	41483
608	18182	41530
609	18248	41583
610	18283	41564
611	18341	41597
612	18384	41596
613	18415	41569
614	18446	41541
615	18485	41533
616	18524	41522
617	18557	41500
618	18599	41496
619	18630	41466
620	18659	41435
621	18687	41400
622	18728	41394
623	18764	41379
624	18798	41356
625	18825	41320
626	18857	41295
627	18903	41299
628	18935	41272
629	18971	41256
630	19000	41224
631	19033	41200
632	19063	41169
633	19084	41119
634	19109	41078
635	19136	41040
636	19168	41015
637	19196	40981
638	19220	40938
639	19249	40905
640	19271	40857
641	19297	40818
642	19318	40769
643	19344	40731
644	19369	40691
645	19393	40649
646	19416	40602
647	19458	40598
648	19479	40549
649	19503	40507
650	19528	40467
651	19553	40426
652	19590	40410
653	19626	40392
654	19646	40341
655	19674	40309
656	19702	40274
657	19731	40243
658	19758	40207
659	19782	40163
660	19840	40191
661	19869	40159
662	19911	40152
663	19945	40131
664	19977	40104
665	20008	40076
666	20033	40036
667	20072	40024
668	20107	40005
669	20131	39962
670	20171	39951
671	20202	39924
672	20237	39904
673	20278	39894
674	20324	39896
675	20356	39870
676	20410	39886
677	20435	39846
678	20468	39820
679	20503	39800
680	20530	39765
681	20563	39740
682	20591	39705
683	20619	39671
684	20648	39638
685	20682	39616
686	20707	39576
687	20737	39546
688	20768	39518
689	20813	39514
690	20838	39475
691	20865	39439
692	20896	39410
693	20933	39392
694	20965	39366
695	20999	39344
696	21029	39314
697	21056	39277
698	21089	39252
699	21116	39216
700	21152	39197
701	21188	39176
702	21228	39166
703	21252	39124
704	21290	39108
705	21322	39080
706	21361	39067
707	21392	39039
708	21432	39026
709	21469	39007
710	21499	38977
711	21525	38939
712	21557	38912
713	21585	38878
714	21617	38851
715	21644	38814
716	21676	38787
717	21716	38775
718	21766	38780
719	21804	38763
720	21841	38744
721	21890	38748
722	21938	38749
723	21960	38704
724	21992	38676
725	22054	38702
726	22094	38688
727	22115	38641
728	22136	38595
729	22168	38567
730	22201	38541
731	22242	38530
732	22276	38505
733	22301	38465
734	22327	38428
735	22371	38421
736	22406	38398
737	22441	38375
738	22477	38354
739	22509	38326
740	22537	38293
741	22569	38263
742	22593	38222
743	22617	38181
744	22657	38167
745	22686	38134
746	22710	38093
747	22744	38069
748	22812	38101
749	22851	38085
750	22876	38046
751	22897	38000
752	22932	37976
753	22967	37954
754	22992	37915
755	23021	37882
756	23052	37851
757	23085	37825
758	23108	37783
759	23135	37747
760	23169	37723
761	23198	37689
762	23228	37659
763	23256	37624
764	23277	37577
765	23317	37563
766	23354	37544
767	23396	37532
768	23446	37532
769	23465	37484
770	23495	37452
771	23544	37452
772	23566	37407
773	23632	37433
774	23664	37405
775	23690	37367
776	23706	37314
777	23737	37284
778	23776	37267
779	23812	37244
780	23837	37205
781	23873	37183
782	23917	37174
783	23952	37151
784	23990	37132
785	24033	37120
786	24063	37088
787	24085	37045
788	24116	37015
789	24157	37001
790	24185	36965
791	24221	36943
792	24251	36912
793	24285	36886
794	24312	36850
795	24349	36830
796	24395	36823
797	24439	36812
798	24464	36773
799	24499	36748
800	24536	36727
801	24576	36710
802	24599	36669
803	24636	36648
804	24663	36611
805	24698	36588
806	24733	36564
807	24772	36545
808	24821	36542
809	24855	36515
810	24895	36499
811	24933	36478
812	24972	36460
813	25010	36440
814	25068	36448
815	25109	36434
816	25161	36432
817	25207	36425
818	25239	36394
819	25277	36374
820	25318	36358
821	25356	36338
822	25425	36361
823	25469	36350
824	25510	36333
825	25562	36332
826	25597	36307
827	25625	36272
828	25669	36259
829	25693	36218
830	25725	36188
831	25795	36213
832	25844	36206
833	25880	36183
834	25917	36160
835	25960	36145
836	26008	36138
837	26041	36109
838	26075	36082
839	26116	36066
840	26150	36038
841	26172	35994
842	26210	35973
843	26250	35954
844	26284	35926
845	26312	35892
846	26345	35863
847	26369	35822
848	26391	35779
849	26415	35739
850	26442	35701
851	26475	35673
852	26499	35632
853	26529	35600
854	26561	35570
855	26588	35534
856	26607	35486
857	26630	35445
858	26659	35411
859	26682	35369
860	26703	35325
861	26726	35284
862	26763	35260
863	26788	35221
864	26826	35200
865	26859	35171
866	26889	35138
867	26922	35110
868	26961	35090
869	26992	35059
870	27034	35042
871	27074	35022
872	27097	34981
873	27135	34959
874	27187	34954
875	27221	34928
876	27257	34903
877	27312	34902
878	27362	34895
879	27407	34881
880	27454	34871
881	27492	34848
882	27533	34829
883	27565	34800
884	27622	34800
885	27660	34778
886	27712	34773
887	27750	34750
888	27788	34727
889	27821	34698
890	27858	34674
891	27897	34653
892	27935	34629
893	27970	34603
894	28012	34585
895	28054	34567
896	28100	34554
897	28134	34525
898	28167	34496
899	28211	34480
900	28246	34453
901	28284	34430
902	28324	34409
903	28357	34379
904	28431	34400
905	28474	34383
906	28529	34379
907	28581	34373
908	28612	34341
909	28677	34350
910	28698	34305
911	28729	34273
912	28761	34243
913	28803	34223
914	28837	34195
915	28880	34177
916	28924	34160
917	28965	34140
918	28992	34103
919	29030	34078
920	29055	34040
921	29090	34012
922	29155	34019
923	29180	33981
924	29224	33963
925	29265	33943
926	29300	33914
927	29329	33880
928	29353	33839
929	29383	33807
930	29410	33769
931	29455	33753
932	29485	33720
933	29510	33681
934	29533	33640
935	29559	33602
936	29587	33566
937	29632	33549
938	29689	33546
939	29728	33523
940	29760	33492
941	29785	33453
942	29805	33409
943	29834	33374
944	29861	33337
945	29885	33297
946	29908	33256
947	29962	33249
948	29992	33215
949	30025	33185
950	30052	33149
951	30085	33119
952	30113	33083
953	30160	33069
954	30180	33025
955	30227	33009
956	30249	32967
957	30274	32929
958	30291	32881
959	30320	32847
960	30354	32818
961	30399	32800
962	30424	32762
963	30453	32728
964	30472	32682
965	30514	32662
966	30541	32625
967	30568	32589
968	30599	32557
969	30622	32516
970	30652	32483
971	30681	32448
972	30709	32413
973	30731	32371
974	30770	32348
975	30793	32307
976	30812	32263
977	30840	32227
978	30871	32195
979	30899	32160
980	30924	32122
981	30957	32092
982	30989	32061
983	31022	32031
984	31050	31996
985	31081	31964
986	31135	31955
987	31167	31924
988	31192	31886
989	31224	31854
990	31265	31833
991	31305	31810
992	31335	31777
993	31373	31751
994	31409	31725
995	31432	31685
996	31458	31647
997	31491	31617
998	31523	31586
999	31561	31561
1000	31585	31522
1001	31610	31484
1002	31653	31464
1003	31681	31428
1004	31723	31408
1005	31753	31375
1006	31794	31352
1007	31820	31315
1008	31852	31284
1009	31883	31252
1010	31917	31223
1011	31961	31203
1012	32001	31179
1013	32027	31143
1014	32053	31105
1015	32080	31069
1016	32109	31036
1017	32165	31027
1018	32196	30995
1019	32247	30982
1020	32273	30945
1021	32328	30936
1022	32366	30911
1023	32392	30873
1024	32427	30845
1025	32476	30830
1026	32513	30804
1027	32547	30774
1028	32593	30756
