iter	RMSE
133	137.5648427
134	137.5633974
135	137.5601678
136	137.4903097
137	137.4885943
138	137.4811953
139	137.4372574
140	137.3385323
141	137.281669
142	137.2312004
143	137.1703427
144	137.1272948
145	136.9657361
146	136.9402306
147	136.9035111
148	136.787128
149	136.754128
150	136.7537612
151	136.678842
152	136.6699233
153	136.5525359
154	136.5274971
155	136.508495
156	136.5050994
157	136.4727866
158	136.4210738
159	136.3913317
160	136.3839994
161	136.2968953
162	136.264503
163	136.2554468
164	136.193883
165	136.1556429
166	136.1379169
167	136.0261863
168	135.9927375
169	135.8899767
170	135.856597
171	135.7767038
172	135.708671
173	135.6063515
174	135.5321858
175	135.4922586
176	135.4639516
177	135.4209067
178	135.3879191
179	135.3714615
180	135.3649113
181	135.3626062
182	135.3618561
183	135.359078
184	135.2841131
185	135.2607657
186	135.2500177
187	135.212055
188	135.193269
189	135.1511577
190	135.0721541
191	134.9490784
192	134.9332013
193	134.8644189
194	134.821402
195	134.803699
196	134.7850082
197	134.7711886
198	134.7628912
199	134.7339501
200	134.7232202
201	134.5919553
202	134.503649
203	134.4934688
204	134.4831771
205	134.4201679
206	134.4193786
207	134.4188082
208	134.3859803
209	134.2958054
210	134.24466
211	134.1995394
212	134.1815271
213	134.1563455
214	134.1482208
215	134.1312253
216	134.1153047
217	134.109985
218	134.066073
219	134.0596161
220	134.0315992
221	133.9905089
222	133.9701231
223	133.9660844
224	133.9099601
225	133.909117
226	133.8837863
227	133.8021534
228	133.7561679
229	133.6990238
230	133.693753
231	133.6578136
232	133.6316113
233	133.6266529
234	133.6244317
235	133.5313433
236	133.5276223
237	133.4972069
238	133.4880556
239	133.4443112
240	133.4332954
241	133.3747231
242	133.3505059
243	133.3135596
244	133.1895601
245	133.1547385
246	133.1301302
247	133.0618931
248	133.0475819
249	133.0298304
250	133.0095932
251	132.9969169
252	132.9280118
253	132.893259
254	132.8383117
255	132.8197632
256	132.7443669
257	132.7369005
258	132.7070492
259	132.6860584
260	132.6567576
261	132.6422726
262	132.6090603
263	132.5455562
264	132.5369479
265	132.5119444
266	132.4909058
267	132.4767868
268	132.4117
269	132.3899052
270	132.2992358
271	132.2811994
272	132.2082912
273	132.1836244
274	132.1596121
275	132.1523341
276	132.1358571
277	132.1292251
278	132.1120334
279	132.1048476
280	132.0691545
281	132.0449813
282	132.0095772
283	132.0061296
284	131.989935
285	131.9197108
286	131.9007997
287	131.8457756
288	131.7909058
289	131.7632129
290	131.7302888
291	131.6829287
292	131.6726848
293	131.6385578
294	131.5708652
295	131.5087701
296	131.442159
297	131.3858127
298	131.3709365
299	131.3293896
300	131.2927667
301	131.2666975
302	131.2436695
303	131.2196997
304	131.2031912
305	131.183817
306	131.1444265
307	131.1394293
308	131.1180245
309	131.0905348
310	131.0577691
311	131.0555771
312	131.0305722
313	131.0147942
314	130.9758162
315	130.9567179
316	130.9311674
317	130.8419461
318	130.8106896
319	130.7612466
320	130.7185222
321	130.6977733
322	130.6889402
323	130.6741654
324	130.6448218
325	130.5343221
326	130.5127247
327	130.4687527
328	130.4427942
329	130.4151066
330	130.3378277
331	130.3322531
332	130.318742
333	130.2531118
334	130.2520897
335	130.2416127
336	130.1921508
337	130.1518667
338	130.1261538
339	130.1214464
340	130.0885242
341	130.0099508
342	129.9938289
343	129.9510745
344	129.9316973
345	129.8666506
346	129.8188443
347	129.8022199
348	129.7307939
349	129.7236799
350	129.7110748
351	129.7036516
352	129.6011547
353	129.563121
354	129.5444978
355	129.5325465
356	129.4780114
357	129.4774946
358	129.387497
359	129.3479385
360	129.3385432
361	129.2730511
362	129.2692624
363	129.2627397
364	129.2485241
365	129.2356971
366	129.2266761
367	129.1934682
368	129.1893778
369	129.1688595
370	129.1592321
371	129.1350807
372	129.086743
373	129.0859996
374	129.0766394
375	129.0512033
376	129.0452388
377	129.012484
378	129.0082642
379	128.9537867
380	128.9501176
381	128.8976935
382	128.8872727
383	128.8772548
384	128.859464
385	128.8303016
386	128.8048161
387	128.7896008
388	128.7499211
389	128.7169834
390	128.6666587
391	128.6259374
392	128.6037442
393	128.5622061
394	128.5577617
395	128.5146844
396	128.4539258
397	128.4419736
398	128.3823383
399	128.3273235
400	128.294555
401	128.2732729
402	128.2529196
403	128.242499
404	128.2365812
405	128.1972672
406	128.1777653
407	128.1673286
408	128.1320095
409	128.0661864
410	128.058645
411	128.0328779
412	128.0083198
413	128.0035683
414	127.9891833
415	127.9784843
416	127.9409384
417	127.9302553
418	127.9243438
419	127.9103728
420	127.8773219
421	127.8763081
422	127.8393415
423	127.8254077
424	127.7857883
425	127.7512195
426	127.7254366
427	127.723977
428	127.6724029
429	127.6359856
430	127.5888229
431	127.5522276
432	127.5515121
433	127.4745488
434	127.4602701
435	127.4480953
436	127.4278976
437	127.4214523
438	127.411135
439	127.3487209
440	127.337085
441	127.3211091
442	127.2883052
443	127.2831131
444	127.2352757
445	127.2119219
446	127.1508292
447	127.0969292
448	127.0466856
449	127.0260588
450	126.9622481
451	126.9251329
452	126.9129582
453	126.8623857
454	126.8577935
455	126.847041
456	126.8393791
457	126.8319704
458	126.8222931
459	126.8070123
460	126.7979709
461	126.7734757
462	126.7039838
463	126.674428
464	126.6351647
465	126.6225752
466	126.6043968
467	126.5911415
468	126.5703349
469	126.5445764
470	126.4675785
471	126.4607663
472	126.4174287
473	126.365219
474	126.3492459
475	126.3490577
476	126.3208045
477	126.2747562
478	126.2479286
479	126.2180846
480	126.2063899
481	126.1240326
482	126.1007559
483	126.077391
484	126.0492621
485	125.9887492
486	125.9795034
487	125.9280478
488	125.9161506
489	125.8554896
490	125.8348662
491	125.7889632
492	125.7684338
493	125.7614472
494	125.7454993
495	125.7419688
496	125.7283391
497	125.7179877
498	125.6895625
499	125.6695083
500	125.6090815
501	125.5593104
502	125.5171057
503	125.5141193
504	125.4836841
505	125.4670837
506	125.4560273
507	125.3901457
508	125.3812033
509	125.313418
510	125.2902345
511	125.2805615
512	125.2654477
513	125.2340787
514	125.2263919
515	125.1974572
516	125.1753835
517	125.1614754
518	125.1537271
519	125.1271793
520	125.1002835
521	125.0785425
522	125.044867
523	125.0309683
524	125.0215225
525	124.9557262
526	124.9451807
527	124.9277346
528	124.9142456
529	124.8902066
530	124.8630652
531	124.8263567
532	124.8012427
533	124.7966701
534	124.7729686
535	124.7480731
536	124.7379027
537	124.7236859
538	124.7114398
539	124.7107318
540	124.7069837
541	124.6955664
542	124.6953808
543	124.6669682
544	124.6382963
545	124.6326762
546	124.5541373
547	124.5310052
548	124.5106651
549	124.4276749
550	124.3986082
551	124.3439635
552	124.3273108
553	124.3137853
554	124.3137547
555	124.2875849
556	124.2808753
557	124.2626455
558	124.2593352
559	124.2182394
560	124.2144142
561	124.1982227
562	124.1837801
563	124.1578708
564	124.1405976
565	124.0971192
566	124.0861068
567	124.0384427
568	124.0383137
569	124.0141385
570	124.0071838
571	124.0002078
572	123.9855244
573	123.9358774
574	123.9193713
575	123.8730571
576	123.864515
577	123.8267596
578	123.8199525
579	123.8053126
580	123.7845052
581	123.7682126
582	123.7614826
583	123.7497989
584	123.746718
585	123.7279781
586	123.7183897
587	123.6522087
588	123.6436921
589	123.6377075
590	123.6236644
591	123.6055997
592	123.5980237
593	123.5618387
594	123.4826972
595	123.4737851
596	123.4411223
597	123.4189946
598	123.4058346
599	123.3931389
600	123.3828374
601	123.3782364
602	123.372076
603	123.3595434
604	123.3062453
605	123.296201
606	123.274749
607	123.2441802
608	123.2374046
609	123.221296
610	123.2009247
611	123.1513305
612	123.1266974
613	123.0804504
614	123.0525503
615	123.0477696
616	123.0375743
617	122.9981086
618	122.9724931
619	122.9268324
620	122.9151753
621	122.907993
622	122.8839561
623	122.8627269
624	122.8626487
625	122.8227362
626	122.7893435
627	122.7410946
628	122.7062593
629	122.6585134
630	122.6527603
631	122.6129903
632	122.5957577
633	122.5833701
634	122.5608179
635	122.5291885
636	122.5289122
637	122.5132155
638	122.4821981
639	122.4130905
640	122.4020109
641	122.4002448
642	122.3793951
643	122.360697
644	122.3380717
645	122.3119479
646	122.2898634
647	122.2535909
648	122.2261245
649	122.2095642
650	122.1818832
651	122.1761412
652	122.1621725
653	122.1489859
654	122.1252066
655	122.1002415
656	122.0790984
657	122.0646675
658	122.0225531
659	121.9903552
660	121.9826978
661	121.9489745
662	121.9429379
663	121.9355617
664	121.9355243
665	121.8903426
666	121.8768664
667	121.8673027
668	121.8613273
669	121.8599083
670	121.8084543
671	121.7982199
672	121.7935468
673	121.7842821
674	121.7548278
675	121.7076785
676	121.6858412
677	121.680816
678	121.6631277
679	121.6391809
680	121.6359788
681	121.630172
682	121.6204824
683	121.611628
684	121.6099933
685	121.5825159
686	121.5742926
687	121.5571169
688	121.5524552
689	121.4911751
690	121.4885272
691	121.4707984
692	121.4522284
693	121.4368581
694	121.4179767
695	121.3975471
696	121.3628548
697	121.3601467
698	121.3471608
699	121.3107482
700	121.3083721
701	121.3022501
702	121.2340717
703	121.197041
704	121.150531
705	121.125677
706	121.1026942
707	121.0809497
708	121.0625725
709	120.9802359
710	120.9525475
711	120.9185793
712	120.9110643
713	120.8910106
714	120.859684
715	120.8202136
716	120.806868
717	120.7984897
718	120.7858819
719	120.7716968
720	120.7643052
721	120.7630343
722	120.6789361
723	120.6663993
724	120.6296857
725	120.6195997
726	120.6051945
727	120.5696893
728	120.5442131
729	120.5369087
730	120.5115586
731	120.4863518
732	120.4433438
733	120.4272412
734	120.4212549
735	120.3720033
736	120.3092034
737	120.3050061
738	120.262189
739	120.2377299
740	120.2189607
741	120.2009038
742	120.1811006
743	120.1730626
744	120.1614986
745	120.1386576
746	120.1196278
747	120.1098846
748	120.0845979
749	120.0709935
750	120.0372835
751	120.0180855
752	119.9974974
753	119.9784651
754	119.9445465
755	119.9341491
756	119.9268278
757	119.9005417
758	119.878179
759	119.8625404
760	119.8426186
761	119.7919852
762	119.785028
763	119.7793307
764	119.7661282
765	119.6844626
766	119.6139933
767	119.6090614
768	119.6023934
769	119.546892
770	119.5170197
771	119.4755682
772	119.4448247
773	119.418182
774	119.4151748
775	119.3885186
776	119.3766721
777	119.3617418
778	119.3426045
779	119.3362912
780	119.30023
781	119.268652
782	119.2545127
783	119.2359159
784	119.2253956
785	119.2202577
786	119.1963063
787	119.1757505
788	119.1712963
789	119.1476095
790	119.1453265
791	119.1289114
792	119.0836457
793	119.052162
794	119.0232268
795	119.0006591
796	118.9927615
797	118.9743549
798	118.9712506
799	118.9351892
800	118.90451
801	118.9007773
802	118.8514126
803	118.7799044
804	118.7728796
805	118.7163514
806	118.6755083
807	118.6623826
808	118.6290796
809	118.5827565
810	118.575688
811	118.559169
812	118.5478784
813	118.5224885
814	118.4695093
815	118.4337923
816	118.4115627
817	118.3816461
818	118.3719364
819	118.3490187
820	118.3071008
821	118.3067275
822	118.2764761
823	118.2763751
824	118.2570563
825	118.2105393
826	118.199292
827	118.1710466
828	118.166193
829	118.1356261
830	118.0762106
831	118.0634023
832	118.0558973
833	118.0531595
834	117.994787
835	117.9694834
836	117.9494414
837	117.9354865
838	117.9301739
839	117.8824594
840	117.8773952
841	117.8619849
842	117.8602077
843	117.8443555
844	117.8311232
845	117.8120187
846	117.7967353
847	117.7923599
848	117.7798973
849	117.7752783
850	117.7726209
851	117.7475575
852	117.746663
853	117.7239068
854	117.7177292
855	117.7058666
856	117.6886985
857	117.6606029
858	117.6513296
859	117.6329701
860	117.6015076
861	117.5747748
862	117.5717239
863	117.5562995
864	117.5255647
865	117.4794136
866	117.4187713
867	117.3760463
868	117.3732758
869	117.333761
870	117.3128375
871	117.3119866
872	117.3098376
873	117.3049875
874	117.2536184
875	117.2445001
876	117.1754082
877	117.1364774
878	117.1322333
879	117.106734
880	117.079165
881	117.0344722
882	117.0116788
883	117.0081343
884	117.0066275
885	116.9546099
886	116.9495725
887	116.9176909
888	116.8964139
889	116.8867801
890	116.8541745
891	116.8374568
892	116.8078854
893	116.8037477
894	116.7990615
895	116.761018
896	116.7528401
897	116.7493119
898	116.7382949
899	116.7268378
900	116.7187046
901	116.6950983
902	116.6397887
903	116.6306183
904	116.6082594
905	116.6021329
906	116.5900253
907	116.5606854
908	116.5550192
909	116.5466943
910	116.4884485
911	116.4796191
912	116.4578554
913	116.4152287
914	116.41232
915	116.3989661
916	116.3940608
917	116.3869401
918	116.3291456
919	116.3233455
920	116.3135488
921	116.2998913
922	116.2974341
923	116.29287
924	116.2728633
925	116.2302448
926	116.1896408
927	116.1879807
928	116.1611957
929	116.1395294
930	116.1220641
931	116.097124
932	116.0633699
933	116.0314598
934	116.0088469
935	116.0060036
936	115.9723703
937	115.9705
938	115.9459725
939	115.9252068
940	115.9215503
941	115.9181657
942	115.9094099
943	115.8897754
944	115.8303988
945	115.824869
946	115.8071626
947	115.7789504
948	115.7286309
949	115.7155912
950	115.6995215
951	115.6819077
952	115.6689439
953	115.6492901
954	115.6416695
955	115.6129695
956	115.591918
957	115.5629498
958	115.5401251
959	115.5131567
960	115.4972381
961	115.4828688
962	115.4747965
963	115.4646014
964	115.4631725
965	115.4503195
966	115.4124949
967	115.3662367
968	115.3432515
969	115.3327145
970	115.3108607
971	115.3008878
972	115.2937065
973	115.2498173
974	115.226947
975	115.2243104
976	115.2058718
977	115.1795171
978	115.1619723
979	115.1434116
980	115.1168433
981	115.0972539
982	115.0794476
983	115.0664648
984	115.0103435
985	114.9808661
986	114.9686287
987	114.9114262
988	114.8834922
989	114.8292039
990	114.794909
991	114.7695862
992	114.7595867
993	114.7583614
994	114.7421038
995	114.72829
996	114.7129252
997	114.7074645
998	114.68753
999	114.6822861
1000	114.666041
1001	114.6072676
1002	114.568325
1003	114.5423676
1004	114.5255993
1005	114.5150058
1006	114.5105187
1007	114.4859686
1008	114.472342
1009	114.4163751
1010	114.4122825
1011	114.3992024
1012	114.3826631
1013	114.3562157
1014	114.341442
1015	114.3376965
1016	114.3191368
1017	114.3091261
1018	114.2975041
1019	114.2957348
1020	114.2677405
1021	114.2659428
1022	114.2484202
1023	114.2287669
1024	114.2226972
1025	114.2080612
1026	114.1910745
1027	114.1878434
1028	114.1639026
1029	114.1427813
1030	114.12838
1031	114.0891694
1032	114.0787221
1033	114.0534667
1034	114.0090664
1035	113.9697965
1036	113.9495707
1037	113.9201398
1038	113.8895981
1039	113.8531757
1040	113.8509486
1041	113.8148229
1042	113.8117132
1043	113.8084542
1044	113.7964584
1045	113.73973
1046	113.6902111
1047	113.6810529
1048	113.6514402
1049	113.6490016
1050	113.6029919
1051	113.6013474
1052	113.5755976
1053	113.5722379
1054	113.5189135
1055	113.5097664
1056	113.4882966
1057	113.4867793
1058	113.4854185
1059	113.4817107
1060	113.4627095
1061	113.4506849
1062	113.4370255
1063	113.4249332
1064	113.4110625
1065	113.393475
1066	113.3728108
1067	113.3373367
1068	113.322227
1069	113.3169871
1070	113.2782341
1071	113.2664825
1072	113.2244813
1073	113.20613
1074	113.2037224
1075	113.176432
1076	113.1714999
1077	113.161638
1078	113.1486695
1079	113.1424553
1080	113.1375955
1081	113.0723535
1082	113.0710988
1083	113.035706
1084	113.0294735
1085	113.0273484
1086	113.0012143
1087	112.9850556
1088	112.9806008
1089	112.9627322
1090	112.9161657
1091	112.878431
1092	112.8765742
1093	112.8464253
1094	112.8329428
1095	112.7594148
1096	112.7226595
1097	112.705577
1098	112.6969963
1099	112.6858793
1100	112.6630732
1101	112.6549616
1102	112.6319586
1103	112.6183955
1104	112.6048532
1105	112.5770664
1106	112.5737704
1107	112.5691569
1108	112.5582661
1109	112.5524987
1110	112.5506147
1111	112.5492458
1112	112.5452939
1113	112.5368838
1114	112.5336201
1115	112.5180621
1116	112.4997688
1117	112.4832891
1118	112.4806084
1119	112.4628675
1120	112.4451463
1121	112.4320357
1122	112.4115569
1123	112.3896658
1124	112.3852714
1125	112.3758016
1126	112.3475149
1127	112.3467475
1128	112.3268253
1129	112.3122188
1130	112.3103827
1131	112.2847832
1132	112.2600597
1133	112.2569093
1134	112.25546
1135	112.2362731
1136	112.2209997
1137	112.1838006
1138	112.1734548
1139	112.1566375
1140	112.1392112
1141	112.1194975
1142	112.079521
1143	112.0711363
1144	112.0152738
1145	112.0095812
1146	111.9892826
1147	111.9683201
1148	111.9587226
1149	111.9397828
1150	111.9196848
1151	111.9179811
1152	111.8440185
1153	111.8279902
1154	111.7993471
1155	111.7961856
1156	111.7950726
1157	111.7936182
1158	111.790851
1159	111.7872187
1160	111.7864123
1161	111.7807695
1162	111.7757022
1163	111.7685902
1164	111.7652678
1165	111.7539987
1166	111.7507736
1167	111.7428426
1168	111.7374264
1169	111.7256071
1170	111.7171852
1171	111.7060491
1172	111.7013912
1173	111.6943747
1174	111.6599957
1175	111.6420476
1176	111.6210353
1177	111.6108051
1178	111.6011196
1179	111.5576412
1180	111.5417514
1181	111.5181733
1182	111.5004534
1183	111.4936156
1184	111.4841018
1185	111.3874883
1186	111.3624987
1187	111.3483833
1188	111.344391
1189	111.2967365
1190	111.292925
1191	111.2851138
1192	111.2804394
1193	111.2464058
1194	111.2077819
1195	111.1961085
1196	111.171387
1197	111.1520212
1198	111.1350472
1199	111.1243696
1200	111.1133612
1201	111.0860005
1202	111.054628
1203	111.037347
1204	111.0236181
1205	110.9965915
1206	110.9817225
1207	110.9710767
1208	110.9487958
1209	110.9259606
1210	110.9159438
1211	110.9006497
1212	110.8867786
1213	110.8799998
1214	110.8623356
1215	110.8541551
1216	110.8372305
1217	110.8116772
1218	110.7884358
1219	110.7831146
1220	110.750987
1221	110.7430809
1222	110.7201846
1223	110.715381
1224	110.7017866
1225	110.699139
1226	110.6923316
1227	110.6687489
1228	110.6469618
1229	110.645546
1230	110.6264582
1231	110.6227329
1232	110.6159803
1233	110.60658
1234	110.6022206
1235	110.585355
1236	110.5770945
1237	110.5046242
1238	110.4838716
1239	110.481312
1240	110.4684179
1241	110.465518
1242	110.4382587
1243	110.4137243
1244	110.3877386
1245	110.3756056
1246	110.3611286
1247	110.348711
1248	110.3324893
1249	110.3235812
1250	110.3143026
1251	110.2741677
1252	110.2351528
1253	110.2190213
1254	110.1812552
1255	110.1399734
1256	110.1123532
1257	110.091528
1258	110.0598547
1259	110.0225824
1260	110.0139071
1261	110.0049679
1262	109.9750615
1263	109.954476
1264	109.9377519
1265	109.9356914
1266	109.9311204
1267	109.9168195
1268	109.9144407
1269	109.9016158
1270	109.8775078
1271	109.8291377
1272	109.8126266
1273	109.7947823
1274	109.7812346
1275	109.7723506
1276	109.7702735
1277	109.7527638
1278	109.7415935
1279	109.7215768
1280	109.6451557
1281	109.6156103
1282	109.6130796
1283	109.5545705
1284	109.5395663
1285	109.4971019
1286	109.4867015
1287	109.4641138
1288	109.462739
1289	109.4592745
1290	109.4327898
1291	109.428082
1292	109.4198267
1293	109.3999837
1294	109.3284635
1295	109.3126305
1296	109.3021955
1297	109.2750336
1298	109.26539
1299	109.2485654
1300	109.2341938
1301	109.2273339
1302	109.2169257
1303	109.2028418
1304	109.2015666
1305	109.1986123
1306	109.1868519
1307	109.1814997
1308	109.1803639
1309	109.1686924
1310	109.1542691
1311	109.13735
1312	109.0831808
1313	109.0702156
1314	109.0675735
1315	109.0524894
1316	109.0480961
1317	109.0464224
1318	109.0358645
1319	109.034373
1320	109.0165732
1321	108.9911608
1322	108.9531175
1323	108.9396419
1324	108.9378854
1325	108.9319027
1326	108.9223202
1327	108.9023752
1328	108.8912843
1329	108.8747026
1330	108.8592356
1331	108.8503151
1332	108.8452993
1333	108.8255805
1334	108.803406
1335	108.7848582
1336	108.7589568
1337	108.754908
1338	108.7482291
1339	108.7468512
1340	108.7399723
1341	108.7252645
1342	108.7088915
1343	108.7078522
1344	108.7065087
1345	108.7047855
1346	108.6815737
1347	108.6731068
1348	108.6640881
1349	108.644028
1350	108.6140809
1351	108.6069795
1352	108.5612367
1353	108.559069
1354	108.5470569
1355	108.5438791
1356	108.5395462
1357	108.5359766
1358	108.5187413
1359	108.5040372
1360	108.4728182
1361	108.4703639
1362	108.4639638
1363	108.4520429
1364	108.4513868
1365	108.4341731
1366	108.4242899
1367	108.407471
1368	108.4005996
1369	108.3995814
1370	108.3879282
1371	108.3858876
1372	108.3466409
1373	108.3367499
1374	108.2924787
1375	108.286399
1376	108.2664306
1377	108.2424006
1378	108.2288175
1379	108.2279821
1380	108.2232212
1381	108.2092945
1382	108.206622
1383	108.1805916
1384	108.1674244
1385	108.1341614
1386	108.1129956
1387	108.1075793
1388	108.0837906
1389	108.0656435
1390	108.0606265
1391	108.0489111
1392	108.0142483
1393	108.0037162
1394	107.9938841
1395	107.9915567
1396	107.9578456
1397	107.9512314
1398	107.9424539
1399	107.9273319
1400	107.910034
1401	107.9052107
1402	107.9016711
1403	107.8930231
1404	107.8886091
1405	107.8630268
1406	107.8540958
1407	107.8320853
1408	107.8124128
1409	107.8026336
1410	107.7907564
1411	107.7801083
1412	107.7598741
1413	107.7236212
1414	107.7010428
1415	107.6806451
1416	107.6665283
1417	107.6630344
1418	107.6605958
1419	107.642937
1420	107.624071
1421	107.6099215
1422	107.6081876
1423	107.5806629
1424	107.5602216
1425	107.5544415
1426	107.5513118
1427	107.5210065
1428	107.5177306
1429	107.5056033
1430	107.5005708
1431	107.4843539
1432	107.4704162
1433	107.4458699
1434	107.4250868
1435	107.4034365
1436	107.3968751
1437	107.3711119
1438	107.3667749
1439	107.3561876
1440	107.3274581
1441	107.3146893
1442	107.3044294
1443	107.271634
1444	107.2675178
1445	107.2395508
1446	107.2379776
1447	107.2217914
1448	107.2075973
1449	107.2058378
1450	107.2026912
1451	107.1662911
1452	107.1230378
1453	107.112446
1454	107.1052822
1455	107.1027621
1456	107.0667159
1457	107.0626582
1458	107.0556356
1459	107.0397031
1460	107.0328693
1461	107.0246292
1462	107.0034023
1463	106.9833622
1464	106.9623016
1465	106.9560271
1466	106.9396534
1467	106.9334103
1468	106.9270851
1469	106.9246251
1470	106.9010234
1471	106.8978699
1472	106.8397476
1473	106.8331494
1474	106.7869562
1475	106.7574857
1476	106.7490437
1477	106.7416282
1478	106.7243524
1479	106.7173212
1480	106.7016104
1481	106.6953448
1482	106.6569288
1483	106.6466221
1484	106.6307817
1485	106.628556
1486	106.610596
1487	106.6022155
1488	106.6010406
1489	106.5937083
1490	106.5794993
1491	106.5657383
1492	106.565443
1493	106.5470099
1494	106.539479
1495	106.5098029
1496	106.4868299
1497	106.4841089
1498	106.4745701
1499	106.4697084
1500	106.4660619
1501	106.4451279
1502	106.4326085
1503	106.4254653
1504	106.4234674
1505	106.4178499
1506	106.409012
1507	106.3864702
1508	106.3757471
1509	106.3663192
1510	106.3516064
1511	106.3481567
1512	106.3402199
1513	106.329293
1514	106.3190952
1515	106.3176155
1516	106.2958654
1517	106.2900744
1518	106.2784101
1519	106.2654792
1520	106.245897
1521	106.2316975
1522	106.2212926
1523	106.2126031
1524	106.2107191
1525	106.1975822
1526	106.1711814
1527	106.1642553
1528	106.1321361
1529	106.1191105
1530	106.1141778
1531	106.1110888
1532	106.0902737
1533	106.0701971
1534	106.052744
1535	106.0452517
1536	106.0104646
1537	105.9888002
1538	105.9729202
1539	105.9674726
1540	105.9431952
1541	105.9390931
1542	105.9226279
1543	105.8692384
1544	105.8645272
1545	105.8446269
1546	105.8390376
1547	105.8321513
1548	105.8039571
1549	105.802918
1550	105.7894801
1551	105.7851422
1552	105.7680347
1553	105.7670094
1554	105.7632339
1555	105.758011
1556	105.7570093
1557	105.7439395
1558	105.741436
1559	105.7082445
1560	105.7019634
1561	105.7010498
1562	105.6855375
1563	105.6697701
1564	105.6558151
1565	105.6540374
1566	105.6537326
1567	105.6174016
1568	105.5952012
1569	105.5682729
1570	105.5652338
1571	105.5606321
1572	105.5538594
1573	105.5489925
1574	105.5250784
1575	105.5154639
1576	105.4845414
1577	105.473765
1578	105.4659875
1579	105.4586986
1580	105.4564584
1581	105.4422487
1582	105.4368666
1583	105.4319779
1584	105.4308276
1585	105.4291278
1586	105.4101663
1587	105.4057807
1588	105.3905218
1589	105.3798557
1590	105.3697079
1591	105.3474436
1592	105.3313474
1593	105.3285098
1594	105.3275992
1595	105.3232995
1596	105.3156627
1597	105.3061132
1598	105.2816352
1599	105.2709635
1600	105.269696
1601	105.2622047
1602	105.2124197
1603	105.1968732
1604	105.1882834
1605	105.1774748
1606	105.1496471
1607	105.1481012
1608	105.1349213
1609	105.1167328
1610	105.097484
1611	105.0822952
1612	105.0775105
1613	105.0732851
1614	105.0294062
1615	105.019346
1616	105.0128744
1617	105.0023943
1618	104.9894905
1619	104.9515265
1620	104.9406865
1621	104.9309058
1622	104.9102401
1623	104.868114
1624	104.8631424
1625	104.8591836
1626	104.8326224
1627	104.7864472
1628	104.7781269
1629	104.7676053
1630	104.7667125
1631	104.7604925
1632	104.7586197
1633	104.7561942
1634	104.7520954
1635	104.7403086
1636	104.7191381
1637	104.6920103
1638	104.6788056
1639	104.6746744
1640	104.6611891
1641	104.6126257
1642	104.6022705
1643	104.6000729
1644	104.5891797
1645	104.576724
1646	104.5452857
1647	104.5373216
1648	104.527252
1649	104.4572547
1650	104.4496755
1651	104.4463599
1652	104.4447269
1653	104.425583
1654	104.4055747
1655	104.3897909
1656	104.3832416
1657	104.3738627
1658	104.3517899
1659	104.3267303
1660	104.3154326
1661	104.3130686
1662	104.3126008
1663	104.3032732
1664	104.298367
1665	104.2719409
1666	104.236581
1667	104.2197322
1668	104.2162383
1669	104.2143081
1670	104.2134057
1671	104.2002226
1672	104.1979587
1673	104.167242
1674	104.1599164
1675	104.1408242
1676	104.1270591
1677	104.1030236
1678	104.0922801
1679	104.0859121
1680	104.0773272
1681	104.0653062
1682	104.0628841
